,issue_date,issue_time,marked_time,plate_expiry_date,vin,agency,fine_amount,loc_lat,loc_long
count,225673,225563.0,225673.0,225673.0,0.0,225673.0,225673.0,225673.0,225673.0
mean,2023-12-17 14:32:02.090812672,13.061967462157657,18.933855622958884,157406.84976492537,,51.95670283994984,74.4306407944238,34.103422944343855,-118.32268353442856
min,2023-01-01 00:00:00,1.0,0.0,0.0,,0.0,0.0,34.09000051,-118.34999911
25%,2023-06-25 00:00:00,10.233333333333333,0.0,202205.0,,54.0,63.0,34.09743328,-118.3352113
50%,2023-12-19 00:00:00,12.166666666666666,0.0,202311.0,,54.0,68.0,34.101176,-118.326056
75%,2024-06-07 00:00:00,15.8,0.0,202407.0,,54.0,73.0,34.1051735,-118.3106728
max,2024-11-30 00:00:00,23.983333333333334,2255.0,209008.0,,98.0,1100.0,34.13735761,-118.2900005
std,,4.397692000680984,142.05935297768238,84128.02691344323,,10.055040562929147,39.28506800701912,0.00977253921900609,0.016069481792977704
median,,12.166666666666666,0.0,202311.0,,54.0,68.0,34.101176,-118.326056
mode,,10.5,0.0,0.0,,54.0,73.0,34.118407,-118.3004219
average_issue_time,12:06,12:06,12:06,12:06,12:06,12:06,12:06,12:06,12:06
